"If the Production method is empty, then it means that item can be crafted directly in Crafting function",,,,,,,,,,,,,
What item can be craft,Raw materials required for crafting,,,,,,,,,,Tools required for crafting,,
Item,Raw material1,Amount,Raw material2,Amount,Raw material3,Amount,Raw material4,Amount,Raw material5,Amount,Lv. 1 Production method,Lv. 2 Production method,Lv. 3 Production method
Barrett,Barrett Receiver,1,Sniper Body,1,Spring,10,Precision gun part,60,Steel Bar,60,Lv. 3 Workbench,,
AUG,AUG Receiver,1,Rifle Body,1,Spring,10,Precision gun part,60,Steel Bar,60,Lv. 3 Workbench,,
ARX,ARX Receiver,1,Rifle Body,1,Spring,10,Precision gun part,60,Steel Bar,60,Lv. 3 Workbench,,
Vector,Vector Receiver,1,SMG Body,1,Spring,10,Precision gun part,60,Steel Bar,60,Lv. 3 Workbench,,
Rocket Launcher,Rocket Launcher Body,1,Spring,8,Precision gun part,60,Steel Bar,60,,,Lv. 3 Workbench,,
8x Scope,Optical Lens,1,Steel Bar,60,Glue,20,,,,,Lv. 3 Workbench,,
Wind Turbine,Steel Bar,30,Chip,10,Cogwheel,40,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Solar Panel,Steel Bar,30,Chip,10,Cogwheel,40,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Cogwheel,Iron Bar,20,Scrap,50,,,,,,,Lv. 3 Workbench,,
Glass Fragment,Stone,20,Scrap,25,,,,,,,Lv. 3 Workbench,,
Spring,Steel Bar,10,Scrap,100,,,,,,,Lv. 3 Workbench,,
Chip,Steel Bar,5,Scrap,50,,,,,,,Lv. 3 Workbench,,
Gun Part,Iron Bar,20,Scrap,10,,,,,,,Lv. 3 Workbench,,
Precision gun part,Steel Bar,2,Scrap,20,,,,,,,Lv. 3 Workbench,,
Car Wheel,Iron Bar,100,Glue,8,Hide,10,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Motorcycle Frame,Steel Bar,10,Scrap,60,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Car Frame,Steel Bar,20,Scrap,100,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Teleporter,Super Pressure Balloon,1,Steel Bar,20,Chip,3,Cogwheel,10,,,Lv. 2 Workbench,Lv. 3 Workbench,
9mm Ammo,Iron Bar,5,Gunpowder,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
5.56mm Ammo,Iron Bar,5,Gunpowder,5,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
7.62mm Ammo,Iron Bar,5,Gunpowder,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
12-Gauge Shell,Iron Bar,5,Gunpowder,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Rocket,RocketFuse,1,Steel Bar,10,Explosive Materials,40,,,,,Lv. 3 Workbench,,
Red Dot Sight,Iron Bar,50,Glass Fragment,8,Glue,4,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
4x Scope,Steel Bar,30,Glass Fragment,12,Glue,8,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
SMG Suppressor,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
SMG Silencer,Steel Bar,15,,,,,,,,,Lv. 3 Workbench,,
SMG Compensator,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Shotgun Choke,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
SMG Extended Mag,Spring,2,Steel Bar,15,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Rifle Extended Mag,Spring,2,Steel Bar,15,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Sniper Extended Mag,Spring,2,Steel Bar,15,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Shotgun Ammo Pouch,Glue,2,Hide,10,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Metal Stock,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Vertical Grip,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Tripod,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Sniper Suppressor,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Sniper Silencer,Steel Bar,15,,,,,,,,,Lv. 3 Workbench,,
Sniper Brake,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Rifle Suppressor,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Rifle Silencer,Steel Bar,15,,,,,,,,,Lv. 3 Workbench,,
Rifle Compensator,Steel Bar,15,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Kar98k Ammo Pouch,Glue,2,Hide,10,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Hide Helmet,Glue,5,Hide,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Iron Helmet,Iron Bar,100,Glue,10,Hide,10,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Helmet,Steel Bar,30,Glue,15,Hide,15,,,,,Lv. 3 Workbench,,
Riot Helmet,Kevlar,1,Steel Bar,50,Glue,20,Hide,20,,,Lv. 3 Workbench,,
Hide Armor,Glue,5,Hide,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Iron Armor,Iron Bar,100,Glue,10,Hide,10,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Armor,Steel Bar,30,Glue,15,Hide,15,,,,,Lv. 3 Workbench,,
Riot Armor,Kevlar,1,Steel Bar,50,Glue,20,Hide,20,,,Lv. 3 Workbench,,
Hide Legguards,Glue,5,Hide,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Iron Legguards,Iron Bar,100,Glue,10,Hide,10,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Legguards,Steel Bar,30,Glue,15,Hide,15,,,,,Lv. 3 Workbench,,
Riot Legguards,Kevlar,1,Steel Bar,50,Glue,20,Hide,20,,,Lv. 3 Workbench,,
Bandage,Cotton,2,,,,,,,,,,,
Herbs,Honeysuckle,3,Mushroom,3,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Syringe,Glass Fragment,5,Rubbing Alcohol,3,Herbs,2,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
First Aid Kit,Syringe,1,Glue,12,Rubbing Alcohol,6,Cotton,6,,,Lv. 3 Workbench,,
Frag Grenade,Spring,1,Iron Bar,40,Gunpowder,20,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Smoke Grenade,Spring,1,Iron Bar,40,Gunpowder,20,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Flashbang,Spring,1,Iron Bar,40,Gunpowder,20,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Dynamite Bundle,Fuse,1,Explosive Materials,20,Cotton,5,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
C4,Dynamite Tube,1,Chip,2,Explosive Materials,20,Iron Bar,40,,,Lv. 2 Workbench,Lv. 3 Workbench,
AED,Defibrillation Paddles,1,Chip,10,Steel Bar,20,Glue,20,,,Lv. 3 Workbench,,
Water Bag,Hide,5,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Sedan,Engine,1,Car Frame,1,Car Wheel,4,Glass Fragment,30,,,Lv. 2 Workbench,Lv. 3 Workbench,
Sleeping Bag,Cotton,10,,,,,,,,,,,
Bed,Wood,100,,,,,,,,,,,
Furnace,Stone,100,Wood,100,,,,,,,,,
Steel Furnace,Rotary Furnace,1,Iron Bar,400,Cogwheel,50,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Oil Refiner,Fluidized Bed Reactor,1,Steel Bar,50,Cogwheel,70,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Lv. 1 Workbench,Iron Bar,40,Wood,100,,,,,,,,,
Campfire,Stone,50,Wood,50,,,,,,,,,
Fireplace,Stone,100,Wood,100,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Wood Storage Box,Wood,200,,,,,,,,,,,
Large Storage Box,Iron Bar,400,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Weapon Storage Box,Iron Bar,400,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Fridge,Iron Bar,400,Chip,2,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Wardrobe,Wood,400,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Ember Chest,Iron Bar,200,,,,,,,,,,,
Repair Station,Repair Plate,2,Cogwheel,20,Iron Bar,400,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Planter Box,Wood,200,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Well,Iron Bar,50,Stone,50,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Wooden Ladder,Wood,50,,,,,,,,,,,
Fuel Generator,Steel Bar,50,Chip,10,Cogwheel,40,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Storage Battery,Steel Bar,40,Chip,8,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Net Floor,Gun Body,1,Precision gun part,50,Spring,8,Steel Bar,50,Cogwheel,20,Lv. 2 Workbench,Lv. 3 Workbench,
Rifle Turret,Rifle Body,1,Precision gun part,50,Spring,8,Steel Bar,50,Cogwheel,20,Lv. 3 Workbench,,
Wooden Barricade,Wood,100,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Iron Barricade,Iron Bar,200,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Claymore Mine,Dynamite Tube,1,Chip,2,Iron Bar,40,Explosive Materials,20,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Table,Wood,100,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Chair,Wood,50,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Bear Skin Rug,Hide,10,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Persian Rug,Hide,10,Cotton,5,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Bear Head Taxidermy,Glue,2,Bone,10,Hide,10,Wood,200,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Screen Divider,Glue,2,Wood,200,Cotton,5,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Chandelier,Chip,2,Iron Bar,200,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Floor Lamp,Chip,2,Iron Bar,200,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Spike Trap,Wood,200,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Sketching Table,Iron Bar,40,Wood,100,,,,,,,,,
Iron Attic Ladder,Iron Bar,200,Cogwheel,20,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Attic Ladder,Steel Bar,50,Cogwheel,20,,,,,,,Lv. 3 Workbench,,
Iron Tri. Attic Ladder,Iron Bar,200,Cogwheel,20,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Tri. Attic Ladder,Steel Bar,50,Cogwheel,20,,,,,,,Lv. 3 Workbench,,
Iron Net Floor,Iron Bar,200,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Net Floor,Steel Bar,50,,,,,,,,,Lv. 3 Workbench,,
Iron Garage Door,Iron Bar,200,Chip,5,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Garage Door,Steel Bar,50,Chip,5,,,,,,,Lv. 3 Workbench,,
Bow,Wood,200,,,,,,,,,,,
Arrow,Wood,40,,,,,,,,,,,
Stone Barricade,Stone,100,,,,,,,,,,,
Iron Barbed Wire,Iron Bar,200,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Steel Barbed Wire,Steel Bar,50,,,,,,,,,Lv. 3 Workbench,,
Vert Iron Bars,Iron Bar,200,,,,,,,,,Lv. 2 Workbench,Lv. 3 Workbench,
Vert Steel Bars,Steel Bar,50,,,,,,,,,Lv. 3 Workbench,,
Vending Machine,Iron Bar,200,,,,,,,,,Lv. 1 Workbench,Lv. 2 Workbench,Lv. 3 Workbench
Saddle,Wood,200,,,,,,,,,,,
Blueprint: Iron Helmet,Iron Helmet,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Steel Helmet,Steel Helmet,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Iron Armor,Iron Armor,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Steel Armor,Steel Armor,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Iron Legguards,Iron Legguards,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Steel Legguards,Steel Legguards,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Iron Axe,Iron Axe,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Steel Axe,Steel Axe,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: Iron Pickaxe,Iron Pickaxe,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Steel Pickaxe,Steel Pickaxe,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: Iron Machete,Iron Machete,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Steel Machete,Steel Machete,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: SMG Suppressor,SMG Suppressor,1,Scrap,175,,,,,,,Sketching Table,,
Blueprint: SMG Silencer,SMG Silencer,1,Scrap,525,,,,,,,Sketching Table,,
Blueprint: SMG Compensator,SMG Compensator,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Shotgun Choke,Shotgun Choke,1,Scrap,100,,,,,,,Sketching Table,,
Blueprint: SMG Extended Mag,SMG Extended Mag,1,Scrap,225,,,,,,,Sketching Table,,
Blueprint: Rifle Extended Mag,Rifle Extended Mag,1,Scrap,275,,,,,,,Sketching Table,,
Blueprint: Sniper Extended Mag,Sniper Extended Mag,1,Scrap,275,,,,,,,Sketching Table,,
Blueprint: Shotgun Ammo Pouch,Shotgun Ammo Pouch,1,Scrap,50,,,,,,,Sketching Table,,
Blueprint: Metal Stock,Metal Stock,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Vertical Grip,Vertical Grip,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Tripod,Tripod,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Sniper Suppressor,Sniper Suppressor,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Sniper Silencer,Sniper Silencer,1,Scrap,525,,,,,,,Sketching Table,,
Blueprint: Sniper Brake,Sniper Brake,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Rifle Suppressor,Rifle Suppressor,1,Scrap,175,,,,,,,Sketching Table,,
Blueprint: Rifle Silencer,Rifle Silencer,1,Scrap,525,,,,,,,Sketching Table,,
Blueprint: Rifle Compensator,Rifle Compensator,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Red Dot Sight,Red Dot Sight,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: 4x Scope,4x Scope,1,Scrap,425,,,,,,,Sketching Table,,
Blueprint: Kar98k Ammo Pouch,Kar98k Ammo Pouch,1,Scrap,50,,,,,,,Sketching Table,,
Blueprint: Frag Grenade,Frag Grenade,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Smoke Grenade,Smoke Grenade,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: Flashbang,Flashbang,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: Herbs,Herbs,1,Scrap,90,,,,,,,Sketching Table,,
Blueprint: Syringe,Syringe,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: First Aid Kit,First Aid Kit,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: PPSh-41,PPSh-41,1,Scrap,225,,,,,,,Sketching Table,,
Blueprint: MPX,MPX,1,Scrap,350,,,,,,,Sketching Table,,
Blueprint: M1897,M1897,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Browning 27,Browning 27,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: AKM,AKM,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: M4A1,M4A1,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Kar98K,Kar98K,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: M700,M700,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Ameli,Ameli,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: 9mm Ammo,9mm Ammo,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: 5.56mm Ammo,5.56mm Ammo,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: 7.62mm Ammo,7.62mm Ammo,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: 12-Gauge Shell,12-Gauge Shell,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Rocket,Rocket,1,Scrap,2250,,,,,,,Sketching Table,,
Blueprint: Dynamite Bundle,Dynamite Bundle,1,Scrap,600,,,,,,,Sketching Table,,
Blueprint: C4,C4,1,Scrap,2100,,,,,,,Sketching Table,,
Blueprint: Fuel Generator,Fuel Generator,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Wind Turbine,Wind Turbine,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Solar Panel,Solar Panel,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Storage Battery,Storage Battery,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Steel Furnace,Steel Furnace,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Oil Refiner,Oil Refiner,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Large Storage Box,Large Storage Box,1,Scrap,325,,,,,,,Sketching Table,,
Blueprint: Weapon Storage Box,Weapon Storage Box,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Fridge,Fridge,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Wardrobe,Wardrobe,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Iron Barricade,Iron Barricade,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: Claymore Mine,Claymore Mine,1,Scrap,175,,,,,,,Sketching Table,,
Blueprint: Steel Net Floor,Steel Net Floor,1,Scrap,400,,,,,,,Sketching Table,,
Blueprint: Rifle Turret,Rifle Turret,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Iron Attic Ladder,Iron Attic Ladder,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Steel Attic Ladder,Steel Attic Ladder,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Iron Tri. Attic Ladder,Iron Tri. Attic Ladder,1,Scrap,200,,,,,,,Sketching Table,,
Blueprint: Steel Tri. Attic Ladder,Steel Tri. Attic Ladder,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Iron Net Floor,Iron Net Floor,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: Steel Net Floor,Steel Net Floor,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Iron Garage Door,Iron Garage Door,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: Steel Garage Door,Steel Garage Door,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Explosive Materials,Explosive Materials,1,Scrap,75,,,,,,,Sketching Table,,
Recipe: Pumpkin Pie,Pumpkin Pie,1,Scrap,125,,,,,,,Sketching Table,,
Recipe: Pumpkin Cheese Cake,Pumpkin Cheese Cake,1,Scrap,125,,,,,,,Sketching Table,,
Recipe: Pumpkin Bread,Pumpkin Bread,1,Scrap,45,,,,,,,Sketching Table,,
Recipe: Bacon and Eggs,Bacon and Eggs,1,Scrap,75,,,,,,,Sketching Table,,
Recipe: BBQ Platter,BBQ Platter,1,Scrap,75,,,,,,,Sketching Table,,
Recipe: Stewed Meat,Stewed Meat,1,Scrap,125,,,,,,,Sketching Table,,
Recipe: Grilled Meat,Grilled Meat,1,Scrap,75,,,,,,,Sketching Table,,
Recipe: Steak,Steak,1,Scrap,125,,,,,,,Sketching Table,,
Recipe: Corn Bread,Corn Bread,1,Scrap,45,,,,,,,Sketching Table,,
Recipe: Hot Dog,Hot Dog,1,Scrap,175,,,,,,,Sketching Table,,
Recipe: Tomato Omelette,Tomato Omelette,1,Scrap,45,,,,,,,Sketching Table,,
Recipe: Moonshine,Moonshine,1,Scrap,45,,,,,,,Sketching Table,,
Recipe: Honeysuckle Tea,Honeysuckle Tea,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Riot Helmet,Riot Helmet,1,Scrap,1800,,,,,,,Sketching Table,,
Blueprint: Riot Armor,Riot Armor,1,Scrap,1800,,,,,,,Sketching Table,,
Blueprint: Riot Legguards,Riot Legguards,1,Scrap,1800,,,,,,,Sketching Table,,
Blueprint: Hide Helmet,Hide Helmet,1,Scrap,90,,,,,,,Sketching Table,,
Blueprint: Hide Armor,Hide Armor,1,Scrap,90,,,,,,,Sketching Table,,
Blueprint: Hide Legguards,Hide Legguards,1,Scrap,90,,,,,,,Sketching Table,,
Blueprint: AED,AED,1,Scrap,2250,,,,,,,Sketching Table,,
Blueprint: Water Bag,Water Bag,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Sedan,Sedan,1,Scrap,500,,,,,,,Sketching Table,,
Blueprint: Fireplace,Fireplace,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Planter Box,Planter Box,1,Scrap,75,,,,,,,Sketching Table,,
Blueprint: Well,Well,1,Scrap,20,,,,,,,Sketching Table,,
